date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:26	101395/101395	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2028%20Jul%202024%2017:04:21%20GMT	http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=fFpw8zR6tSXx2croGNncVFeDkWLk20RJTcBwduama8wGMDVLmXDvzqvGUQ26mfJ11waKZBM-DJZc_NyOjboROWuyxlzOFS_QVCgtP4auv_FMBd_1h8pPjyXmzZSek1mqG50MI4Liun2OS0liO30Db8Ka-8YmrfjvLWiOdeBpwTncWdeuFf-gw5iHYFVpG_7P0&t=ffffffff805766b3	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/ScriptResource3790.js	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:26	7843/7843	---M--	200	added ('OK')	image/png	etag:%22fdf29fd145f6d21:0%22	http://223.31.103.204/HeritageSMSClaimView/images/HeritageCaption.png	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/images/HeritageCaption.png	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:27	19041/19041	---M--	200	added ('OK')	image/jpeg	etag:%22eee562c4df6d21:0%22	http://223.31.103.204/HeritageSMSClaimView/images/PSU_LOGO/NIA_LOGO.jpg	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/images/PSU_LOGO/NIA_LOGO.jpg	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:27	2204/2204	---M-Z	200	added ('OK')	text/css	etag:%225eb03ec1-89c%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/footable.min.css	C:/My%20Web%20Sites/Demo/cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/footable.min.css	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:28	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:16%20GMT	http://223.31.103.204/HeritageSMSClaimView/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/js/jquery.easing.1.3.10.delayed	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:28	8421/8421	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec1-20e5%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/js/footable.min.js	C:/My%20Web%20Sites/Demo/cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/js/footable.min.js	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:28	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:17%20GMT	http://223.31.103.204/HeritageSMSClaimView/js/bootstrap.min.js	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/js/bootstrap.min.11.delayed	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:28	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:17%20GMT	http://223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.eot?v=4.0.3	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.12ba72.delayed	(from http://223.31.103.204/HeritageSMSClaimView/css/font-awesome.css)
23:22:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:17%20GMT	http://223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.13d41d.delayed	(from http://223.31.103.204/HeritageSMSClaimView/css/font-awesome.css)
23:22:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:17%20GMT	http://223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.woff?v=4.0.3	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.14ba72.delayed	(from http://223.31.103.204/HeritageSMSClaimView/css/font-awesome.css)
23:22:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:18%20GMT	http://223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.15ba72.delayed	(from http://223.31.103.204/HeritageSMSClaimView/css/font-awesome.css)
23:22:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:18%20GMT	http://223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.svg?v=4.0.3	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/fonts/fontawesome-webfont.16ba72.delayed	(from http://223.31.103.204/HeritageSMSClaimView/css/font-awesome.css)
23:22:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:18%20GMT	http://223.31.103.204/HeritageSMSClaimView/images/arrow-down.png	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/images/arrow-down.17.delayed	(from http://223.31.103.204/HeritageSMSClaimView/css/style.css)
23:22:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:19%20GMT	http://223.31.103.204/HeritageSMSClaimView/POST	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/POST.18.delayed	(from http://223.31.103.204/HeritageSMSClaimView/WebResource.axd?d=pZT_EvFNW3-OR03P4GgJnjzcBavXe660vtnjCVgfAJdyslrA9uL0-5PUNF06jUOGVZzP-C6LxDd1Sr6ha8nO90UvUlkIoh5Jm6SnBHKIrTs1&t=635588816815688065)
23:22:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:19%20GMT	http://223.31.103.204/HeritageSMSClaimView/Firefox/	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/Firefox/index.html	(from http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=68C2rdLhjkQTI1UGULXPg52h9nGjxQ5F3bPZVHg8Mls6QV9bCjtvcQzYVsQI1D8jC_8Miz1STJ6FzTRb6Xpd8bFug3Q3xYZPScsg08GMdA97UB7MYy2kreADZUvMcP4MAbrtRqEQNd294ict5V1vRHCuDLPzpAkfiejNwwpi1HC06ahYtNd-B2c0SInUo7Hc0&t=ffffffff805766b3)
23:22:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:19%20GMT	http://223.31.103.204/HeritageSMSClaimView/MicrosoftAjaxWebForms.js	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/MicrosoftAjaxWebForms.19.delayed	(from http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=fFpw8zR6tSXx2croGNncVFeDkWLk20RJTcBwduama8wGMDVLmXDvzqvGUQ26mfJ11waKZBM-DJZc_NyOjboROWuyxlzOFS_QVCgtP4auv_FMBd_1h8pPjyXmzZSek1mqG50MI4Liun2OS0liO30Db8Ka-8YmrfjvLWiOdeBpwTncWdeuFf-gw5iHYFVpG_7P0&t=ffffffff805766b3)
23:22:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:19%20GMT	http://223.31.103.204/HeritageSMSClaimView/AppleWebKit/	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/AppleWebKit/index.html	(from http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=68C2rdLhjkQTI1UGULXPg52h9nGjxQ5F3bPZVHg8Mls6QV9bCjtvcQzYVsQI1D8jC_8Miz1STJ6FzTRb6Xpd8bFug3Q3xYZPScsg08GMdA97UB7MYy2kreADZUvMcP4MAbrtRqEQNd294ict5V1vRHCuDLPzpAkfiejNwwpi1HC06ahYtNd-B2c0SInUo7Hc0&t=ffffffff805766b3)
23:22:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:19%20GMT	http://223.31.103.204/HeritageSMSClaimView/Opera/	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/Opera/index.html	(from http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=68C2rdLhjkQTI1UGULXPg52h9nGjxQ5F3bPZVHg8Mls6QV9bCjtvcQzYVsQI1D8jC_8Miz1STJ6FzTRb6Xpd8bFug3Q3xYZPScsg08GMdA97UB7MYy2kreADZUvMcP4MAbrtRqEQNd294ict5V1vRHCuDLPzpAkfiejNwwpi1HC06ahYtNd-B2c0SInUo7Hc0&t=ffffffff805766b3)
23:22:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:19%20GMT	http://223.31.103.204/HeritageSMSClaimView/MicrosoftAjaxSerialization.js	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/MicrosoftAjaxSerialization.1a.delayed	(from http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=fFpw8zR6tSXx2croGNncVFeDkWLk20RJTcBwduama8wGMDVLmXDvzqvGUQ26mfJ11waKZBM-DJZc_NyOjboROWuyxlzOFS_QVCgtP4auv_FMBd_1h8pPjyXmzZSek1mqG50MI4Liun2OS0liO30Db8Ka-8YmrfjvLWiOdeBpwTncWdeuFf-gw5iHYFVpG_7P0&t=ffffffff805766b3)
23:22:31	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2028%20Jul%202024%2017:52:20%20GMT	http://223.31.103.204/HeritageSMSClaimView/MicrosoftAjaxNetwork.js	C:/My%20Web%20Sites/Demo/223.31.103.204/HeritageSMSClaimView/MicrosoftAjaxNetwork.1b.delayed	(from http://223.31.103.204/HeritageSMSClaimView/ScriptResource.axd?d=fFpw8zR6tSXx2croGNncVFeDkWLk20RJTcBwduama8wGMDVLmXDvzqvGUQ26mfJ11waKZBM-DJZc_NyOjboROWuyxlzOFS_QVCgtP4auv_FMBd_1h8pPjyXmzZSek1mqG50MI4Liun2OS0liO30Db8Ka-8YmrfjvLWiOdeBpwTncWdeuFf-gw5iHYFVpG_7P0&t=ffffffff805766b3)
23:22:32	434/434	---M-Z	200	added ('OK')	image/png	etag:%225eb03ec1-1b2%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/img/plus.png	C:/My%20Web%20Sites/Demo/cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/img/plus.png	(from https://cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/footable.min.css)
23:22:32	93636/93636	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	C:/My%20Web%20Sites/Demo/ajax.googleapis.com/ajax/libs/jquery/1.8.3/jquery.min.js	(from http://223.31.103.204/HeritageSMSClaimView/?CCN=HH552500876&INS=NIA&ISQUERY=N)
23:22:32	196/196	---M-Z	200	added ('OK')	image/png	etag:%225eb03ec1-c4%22	https://cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/img/minus.png	C:/My%20Web%20Sites/Demo/cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/img/minus.png	(from https://cdnjs.cloudflare.com/ajax/libs/jquery-footable/0.1.0/css/footable.min.css)
